Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
China,CHN,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.567469
"Hong Kong SAR, China",HKG,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.327714
Mexico,MEX,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.804369
Philippines,PHL,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.581907
Poland,POL,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.170836
Thailand,THA,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.18535
"Taiwan, China",TWN,2013,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.789625
Brazil,BRA,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.325285
China,CHN,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.051835
"Hong Kong SAR, China",HKG,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.433934
Mexico,MEX,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.019424
Philippines,PHL,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.594242
Poland,POL,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.176773
Thailand,THA,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.895611
"Taiwan, China",TWN,2014,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.196055
Brazil,BRA,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",9.023366
China,CHN,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.557917
"Hong Kong SAR, China",HKG,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.971978
Mexico,MEX,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.718876
Philippines,PHL,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.699429
Poland,POL,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.904363
Thailand,THA,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.899106
"Taiwan, China",TWN,2015,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.303169
Brazil,BRA,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",8.730991
China,CHN,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.235099
"Hong Kong SAR, China",HKG,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.446399
Mexico,MEX,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.820231
Philippines,PHL,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.233778
Poland,POL,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.642997
Thailand,THA,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.189013
"Taiwan, China",TWN,2016,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.396173
Brazil,BRA,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.450237
China,CHN,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.562245
"Hong Kong SAR, China",HKG,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.475718
Mexico,MEX,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",6.042058
Philippines,PHL,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.852758
Poland,POL,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.008139
Thailand,THA,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.66536
"Taiwan, China",TWN,2017,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.625016
Brazil,BRA,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.675582
